"_time","New Cases","Case Positivity %"
"2020-07-06T00:00:00.000-0600",0,"0.00"
"2020-07-07T00:00:00.000-0600",0,"0.00"
"2020-07-08T00:00:00.000-0600",2,"0.33"
"2020-07-09T00:00:00.000-0600",1,"0.14"
"2020-07-10T00:00:00.000-0600",5,"0.68"
"2020-07-13T00:00:00.000-0600",2,"0.30"
"2020-07-14T00:00:00.000-0600",2,"0.32"
"2020-07-15T00:00:00.000-0600",6,"1.12"
"2020-07-16T00:00:00.000-0600",7,"1.13"
"2020-07-17T00:00:00.000-0600",3,"0.41"
"2020-07-20T00:00:00.000-0600",3,"0.36"
"2020-07-21T00:00:00.000-0600",3,"0.59"
"2020-07-22T00:00:00.000-0600",3,"0.47"
"2020-07-23T00:00:00.000-0600",6,"0.80"
"2020-07-24T00:00:00.000-0600",3,"0.36"
"2020-07-27T00:00:00.000-0600",4,"0.48"
"2020-07-28T00:00:00.000-0600",2,"0.27"
"2020-07-29T00:00:00.000-0600",0,"0.00"
"2020-07-30T00:00:00.000-0600",4,"0.54"
"2020-07-31T00:00:00.000-0600",1,"0.09"
"2020-08-03T00:00:00.000-0600",1,"0.05"
"2020-08-04T00:00:00.000-0600",3,"0.17"
"2020-08-05T00:00:00.000-0600",5,"0.36"
"2020-08-06T00:00:00.000-0600",5,"0.27"
"2020-08-07T00:00:00.000-0600",6,"0.24"
"2020-08-10T00:00:00.000-0600",2,"0.05"
"2020-08-11T00:00:00.000-0600",4,"0.11"
"2020-08-12T00:00:00.000-0600",4,"0.16"
"2020-08-15T00:00:00.000-0600",6,"0.37"
"2020-08-16T00:00:00.000-0600",7,"0.29"
"2020-08-17T00:00:00.000-0600",24,"0.26"
"2020-08-18T00:00:00.000-0600",20,"0.32"
"2020-08-19T00:00:00.000-0600",29,"0.46"
"2020-08-20T00:00:00.000-0600",52,"0.48"
"2020-08-21T00:00:00.000-0600",54,"0.50"
"2020-08-22T00:00:00.000-0600",43,"1.29"
"2020-08-23T00:00:00.000-0600",53,"1.18"
"2020-08-24T00:00:00.000-0600",79,"0.45"
"2020-08-25T00:00:00.000-0600",89,"0.56"
"2020-08-26T00:00:00.000-0600",54,"0.79"
"2020-08-27T00:00:00.000-0600",60,"0.40"
"2020-08-28T00:00:00.000-0600",65,"0.43"
"2020-08-29T00:00:00.000-0600",50,"1.73"
"2020-08-30T00:00:00.000-0600",104,"2.86"
"2020-08-31T00:00:00.000-0600",230,"1.34"
"2020-09-01T00:00:00.000-0600",199,"1.39"
"2020-09-02T00:00:00.000-0600",120,"1.69"
"2020-09-03T00:00:00.000-0600",88,"0.59"
"2020-09-04T00:00:00.000-0600",104,"0.73"
"2020-09-05T00:00:00.000-0600",37,"1.42"
"2020-09-06T00:00:00.000-0600",37,"1.24"
"2020-09-07T00:00:00.000-0600",69,"1.10"
"2020-09-08T00:00:00.000-0600",81,"0.70"
